"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1491","test_dates_ordered[-CES-DAI]","tests.validation","Wed Sep 17 17:59:58 GMT 2025","passed","Wed Sep 17 17:59:59 GMT 2025","","test_date_validation","",""
"","251","test_zero_volume_cases[4h-POL-DAI]","tests.special","Wed Sep 17 17:59:01 GMT 2025","failed","Wed Sep 17 17:59:01 GMT 2025","","test_edge_cases","",""
"","1428","test_api_availability[4h-POL-CES]","tests.basic","Wed Sep 17 17:54:21 GMT 2025","passed","Wed Sep 17 17:54:22 GMT 2025","","test_availability","",""
"","1905","test_volume_positive[1h-USDT-POL]","tests.validation","Wed Sep 17 18:07:36 GMT 2025","passed","Wed Sep 17 18:07:38 GMT 2025","","test_volume_validation","",""
"","1940","test_volume_positive[4h-CES-USDT]","tests.validation","Wed Sep 17 18:07:27 GMT 2025","passed","Wed Sep 17 18:07:29 GMT 2025","","test_volume_validation","",""
"","1937","test_volume_positive[15m-USDT-DAI]","tests.validation","Wed Sep 17 18:08:11 GMT 2025","passed","Wed Sep 17 18:08:13 GMT 2025","","test_volume_validation","",""
"","1424","test_non_empty_data[4h-USDT-DAI]","tests.basic","Wed Sep 17 17:57:17 GMT 2025","passed","Wed Sep 17 17:57:18 GMT 2025","","test_data_structure","",""
"","1428","test_dates_ordered[4h-USDT-CES]","tests.validation","Wed Sep 17 18:00:31 GMT 2025","passed","Wed Sep 17 18:00:32 GMT 2025","","test_date_validation","",""
"","1440","test_api_availability[15m-USDT-DAI]","tests.basic","Wed Sep 17 17:54:59 GMT 2025","passed","Wed Sep 17 17:55:01 GMT 2025","","test_availability","",""
"Проверяет, что цены в разумных пределах","1443","test_price_ranges[15m-CES-DAI]","tests.validation","Wed Sep 17 18:05:12 GMT 2025","passed","Wed Sep 17 18:05:13 GMT 2025","","test_price_validation","",""
"","1936","test_volume_positive[-POL-USDT]","tests.validation","Wed Sep 17 18:06:25 GMT 2025","passed","Wed Sep 17 18:06:27 GMT 2025","","test_volume_validation","",""
"","1454","test_no_duplicate_dates[4h-POL-CES]","tests.validation","Wed Sep 17 18:01:50 GMT 2025","passed","Wed Sep 17 18:01:51 GMT 2025","","test_date_validation","",""
"","1392","test_no_duplicate_dates[1w-POL-DAI]","tests.validation","Wed Sep 17 18:01:30 GMT 2025","passed","Wed Sep 17 18:01:31 GMT 2025","","test_date_validation","",""
"","1460","test_non_empty_data[15m-DAI-POL]","tests.basic","Wed Sep 17 17:57:45 GMT 2025","passed","Wed Sep 17 17:57:47 GMT 2025","","test_data_structure","",""
"","1417","test_no_duplicate_dates[15m-CES-POL]","tests.validation","Wed Sep 17 18:02:26 GMT 2025","passed","Wed Sep 17 18:02:27 GMT 2025","","test_date_validation","",""
"","1435","test_date_format_and_range[1h-POL-CES]","tests.validation","Wed Sep 17 18:03:34 GMT 2025","passed","Wed Sep 17 18:03:35 GMT 2025","","test_date_validation","",""
"","1415","test_no_duplicate_dates[1h-POL-CES]","tests.validation","Wed Sep 17 18:02:07 GMT 2025","passed","Wed Sep 17 18:02:09 GMT 2025","","test_date_validation","",""
"Проверяет, что цены в разумных пределах","1447","test_price_ranges[4h-POL-USDT]","tests.validation","Wed Sep 17 18:04:27 GMT 2025","passed","Wed Sep 17 18:04:29 GMT 2025","","test_price_validation","",""
"","1422","test_api_availability[1h-USDT-DAI]","tests.basic","Wed Sep 17 17:54:42 GMT 2025","passed","Wed Sep 17 17:54:43 GMT 2025","","test_availability","",""
"","1392","test_no_duplicate_dates[1w-USDT-DAI]","tests.validation","Wed Sep 17 18:01:37 GMT 2025","passed","Wed Sep 17 18:01:38 GMT 2025","","test_date_validation","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","1395","test_candle_validity[1w-DAI-USDT]","tests.validation","Wed Sep 17 18:05:33 GMT 2025","passed","Wed Sep 17 18:05:34 GMT 2025","","test_price_validation","",""
